t	x_tail	x_peak	y_peak	x_mean	x_nose	x_nose_ISC	volume	UmeanV	delta_min	delta_mean	delta_max	delta_min_smooth	delta_max_smooth
8.16114 12.8323392868042 11.125088311443449 0.3738531942279112 14.629851341247559 18.0958309173584 ? 1.6053597538721966 1.5183431992067018 0.0739249095126655 0.24046131789521397 0.49948867536268476 0 0
8.18877 11.408470153808594 14.29222269188894 0.3608184453731334 14.671746253967285 18.138776779174805 ? 1.6053523112197292 1.5194214487019875 0.13916965401478915 0.1694054249673756 0.4947621720838948 0 0
8.21385 11.445816040039062 14.329353164846818 0.3614199351993231 14.709928512573242 18.18108367919922 ? 1.6053337121797455 1.5204974872087316 0.13853759921018555 0.16977252731896242 0.4947621720838948 0 0
8.2398 12.979582786560059 11.236249843017138 0.3698829851889401 14.749369621276855 18.224407196044922 ? 1.6053644298160032 1.5217402285384265 0.06091080040718416 0.24094734188121647 0.4947621720838948 0 0
8.26896 14.445563316345215 14.065139331964508 0.32102215204019974 14.793840408325195 18.269508361816406 ? 1.6053807652894998 1.5232669995801424 0.13684543375029967 0.2470158426610098 0.49979445898144786 0 0
8.29263 14.475017547607422 11.317815889655524 0.36952189365758914 14.829839706420898 18.307945251464844 ? 1.605363583937551 1.5245936601313412 0.06097875957151572 0.24105031700085994 0.4994165945003365 0 0
8.31334 13.113628387451172 11.34496312561554 0.3702298150955467 14.861268997192383 18.34233283996582 ? 1.6054778576563242 1.5258129723237928 0.07872928396092665 0.2412325675594869 0.4947621720838948 0 0
8.33845 11.619346618652344 11.373708075553802 0.37075547256426844 14.899593353271484 18.38222885131836 ? 1.6054713078608094 1.5273166858235248 0.08006280396137555 0.24161995470600295 0.49966011882492983 0 0
8.3608 13.99954891204834 11.403940418837417 0.37221696974933205 14.933812141418457 18.4198055267334 ? 1.6053489468917546 1.5286520370119254 0.0808782370312795 0.24182220508571756 0.49629101595126635 0 0
8.384 11.686258316040039 14.630263488213293 0.3639643943218213 14.969298362731934 18.456087112426758 ? 1.6053852544332003 1.5300481037995841 0.13600382195314553 0.16968294726621969 0.21230289507719619 0 0
8.43777 14.02907657623291 14.71808019940025 0.3660181368671253 15.05166244506836 18.542932510375977 ? 1.605427761780356 1.5331751208964173 0.13396907753765525 0.17014496052719236 0.21203225737925008 0 0
8.46308 14.222249031066895 11.535762185227313 0.37635901517524034 15.090571403503418 18.583702087402344 ? 1.6053185828100283 1.5345756029866535 0.08137549487184187 0.24288714975475578 0.49938996968808813 0 0
8.48939 14.081938743591309 11.577925409003608 0.3751882557725169 15.130903244018555 18.62749671936035 ? 1.605413205425822 1.5359563578855817 0.06410359178617048 0.24285320146067424 0.4998687147299498 0 0
8.51521 14.314477920532227 11.615523840096106 0.37326381965923205 15.170448303222656 18.66826629638672 ? 1.6054402925884828 1.5372587421085522 0.06399222872080401 0.242957167840278 0.4993681983585691 0 0
8.54113 14.147346496582031 11.665395852291223 0.37041941928389494 15.210375785827637 18.708866119384766 ? 1.6054536668113268 1.5384818296794212 0.07892961217782973 0.24265898619617 0.49922756604854773 0 0
8.56932 14.708492279052734 11.71013356199359 0.3688656381115031 15.253775596618652 18.755474090576172 ? 1.6054136176809544 1.5397984078047253 0.06234051085171438 0.24265589130788423 0.4995943200085265 0 0
8.59553 14.71474552154541 14.937755726351597 0.36571507672611886 15.294051170349121 18.79720687866211 ? 1.6055079235869005 1.5410111294303859 0.1342536435759819 0.17269385349585342 0.25182422163560036 0 0
8.62151 14.251893997192383 11.790617869083661 0.3626983485617292 15.334192276000977 18.84026336669922 ? 1.6053870759776918 1.5421782818471 0.06382032930224213 0.2427237162303123 0.49909268714474847 0 0
