Points_0,Points_1,Points_2,u.x_0,u.x_1,u.x_2,u.x_Magnitude
10.9691,0.146314,0,1.44268,-0.060032,0.015334,1.44401
10.9636,0.144855,0,1.44285,-0.0623366,0.00348415,1.4442
10.9621,0.144444,0,1.4428,-0.0633884,9.50025e-05,1.44419
10.957,0.143136,0,1.44318,-0.0655124,-0.00766449,1.44468
10.9571,0.143148,0,1.44318,-0.0654936,-0.00761588,1.44469
10.9526,0.142186,0,1.44405,-0.0665339,-0.0142702,1.44565
10.9416,0.139636,0,1.44714,-0.0704259,-0.0315037,1.44919
10.9369,0.138683,0,1.44931,-0.0725829,-0.0388484,1.45165
10.9366,0.138649,0,1.44944,-0.0726598,-0.0391162,1.45178
10.9927,0.152618,0,1.44334,-0.0533826,0.0558906,1.4454
10.9902,0.151852,0,1.44348,-0.0542674,0.0498035,1.44536
10.9966,0.153688,0,1.44251,-0.0525644,0.0647029,1.44492
10.9927,0.152626,0,1.44336,-0.0533676,0.0559277,1.44543
11.0121,0.157646,0,1.44059,-0.0510047,0.0899719,1.4443
11.0158,0.159259,0,1.4415,-0.0492978,0.0957698,1.44552
11.0186,0.160517,0,1.44241,-0.0486398,0.100045,1.44669
11.0124,0.157839,0,1.44075,-0.0506894,0.0905658,1.44449
11.0243,0.161546,0,1.44168,-0.0506567,0.108513,1.44665
11.0233,0.161479,0,1.44204,-0.0501749,0.107091,1.44688
10.9306,0.137297,0,1.45211,-0.0753775,-0.0496099,1.45491
10.9296,0.137037,0,1.45264,-0.0762513,-0.0517106,1.45556
10.924,0.13577,0,1.45598,-0.0798395,-0.0590069,1.45936
10.924,0.135771,0,1.45598,-0.079837,-0.0590008,1.45936
10.9196,0.134993,0,1.45892,-0.0819331,-0.0640826,1.46262
10.9086,0.13268,0,1.46656,-0.0875296,-0.0756883,1.47112
10.9036,0.131595,0,1.47075,-0.0915065,-0.0814328,1.47584
10.9029,0.131494,0,1.4713,-0.0918509,-0.0818288,1.47643
10.8977,0.130326,0,1.47565,-0.0958078,-0.0880787,1.48138
10.8951,0.12963,0,1.47805,-0.0983941,-0.0919952,1.48418
10.8909,0.128551,0,1.48161,-0.101809,-0.095131,1.48815
10.8909,0.128563,0,1.48159,-0.101784,-0.0950969,1.48812
10.8867,0.127681,0,1.48512,-0.104611,-0.0973653,1.49198
10.8757,0.125137,0,1.49503,-0.113775,-0.101651,1.50279
10.8705,0.123757,0,1.50013,-0.118921,-0.104963,1.5085
10.8704,0.123712,0,1.50028,-0.119101,-0.105142,1.50867
10.8655,0.122222,0,1.50521,-0.124139,-0.109148,1.51426
10.8593,0.120195,0,1.51133,-0.130386,-0.111604,1.52104
10.8537,0.118505,0,1.5166,-0.135536,-0.113165,1.52684
10.8481,0.116638,0,1.52344,-0.142237,-0.118567,1.53465
10.848,0.116561,0,1.52373,-0.142512,-0.118852,1.53499
10.8433,0.114815,0,1.52967,-0.148132,-0.124036,1.54182
11.0465,0.166667,0,1.44362,-0.0564659,0.13892,1.45139
11.0516,0.168252,0,1.45364,-0.0580125,0.140302,1.46155
10.8375,0.112489,0,1.53694,-0.154764,-0.127331,1.54995
10.8317,0.110269,0,1.54397,-0.161106,-0.129654,1.55776
10.8262,0.107407,0,1.55236,-0.1702,-0.135135,1.5675
11.0791,0.172471,0,1.45704,-0.0718937,0.154573,1.46698
11.0809,0.172706,0,1.45705,-0.0723744,0.154901,1.46704
11.0912,0.174736,0,1.46014,-0.0777632,0.152532,1.47014
11.0906,0.174612,0,1.45956,-0.077424,0.153189,1.46962
11.0846,0.1734,0,1.45711,-0.0741229,0.155804,1.46729
11.0881,0.174074,0,1.4572,-0.0769475,0.156266,1.46757
11.1285,0.178025,0,1.45997,-0.08136,0.113688,1.46665
11.1395,0.178448,0,1.45735,-0.082488,0.0973883,1.46293
11.1505,0.178765,0,1.455,-0.0824176,0.0786394,1.45945
11.1579,-0.351852,0,1.58934,0.0167697,0.113593,1.59348
11.1595,-0.355127,0,1.6057,-0.00605457,0.12182,1.61032
11.1615,0.178953,0,1.45245,-0.0795367,0.0584517,1.4558
11.1615,-0.358178,0,1.62242,-0.0276719,0.131756,1.628
11.1597,-0.355259,0,1.60664,-0.00718832,0.12234,1.61131
11.1725,0.178971,0,1.45076,-0.0731694,0.0381299,1.4531
11.4416,-0.262963,0,1.57561,-0.0226346,0.037543,1.57622
11.4474,-0.261201,0,1.57607,-0.0292421,0.035473,1.57674
11.4616,-0.255556,0,1.56861,-0.046894,0.0350701,1.5697
11.1835,0.178789,0,1.45084,-0.0647054,0.020688,1.45243
11.1945,0.17842,0,1.45198,-0.054447,0.00615609,1.45301
10.7444,0.0185185,0,1.703,-0.30185,-0.260144,1.749
10.7437,0.0172567,0,1.70464,-0.302696,-0.261389,1.75093
11.2223,-0.373502,0,0.963418,0.0555153,0.0820787,0.9685
11.2224,-0.373514,0,0.963111,0.0568921,0.0819124,0.96826
11.2273,-0.374074,0,0.945761,0.147522,0.0728535,0.959965
11.2275,-0.374104,0,0.944799,0.150539,0.0724483,0.959456
11.2322,-0.375574,0,0.89096,0.20001,0.0556682,0.91483
11.2321,-0.375542,0,0.89226,0.199045,0.0560969,0.915911
11.2825,-0.374101,0,0.85435,0.0156504,0.0288662,0.854981
11.4694,-0.252712,0,1.5649,-0.0555754,0.0316604,1.5662
11.4752,-0.250224,0,1.5591,-0.0625894,0.0321462,1.56068
11.4759,-0.249919,0,1.55831,-0.0634469,0.0321342,1.55993
11.48,-0.248148,2.1684e-19,1.55419,-0.0683202,0.0322717,1.55603
11.4804,-0.247887,2.1684e-19,1.55367,-0.0687994,0.0321284,1.55552
11.4854,-0.245778,0,1.54948,-0.0718865,0.0302349,1.55145
11.4845,-0.246131,0,1.55006,-0.071386,0.0304789,1.552
11.2055,0.177909,0,1.45285,-0.0412359,-0.0082011,1.45345
11.1945,-0.380302,0,0.78814,-0.33165,0.0473,0.856384
11.189,-0.380707,0,0.819258,-0.0311254,0.030813,0.820428
11.4964,-0.240741,0,1.53887,-0.0809628,0.0267591,1.54123
11.2165,0.177263,0,1.4526,-0.0267083,-0.0205936,1.45299
11.2316,0.17602,0,1.45218,-0.00918085,-0.0355095,1.45264
11.2275,0.176428,0,1.45202,-0.0136342,-0.0318673,1.45243
11.508,-0.235977,0,1.52219,-0.0874025,0.0213674,1.52485
11.5023,-0.238007,0,1.52877,-0.0856373,0.0234303,1.53134
11.5303,-0.227342,0,1.47642,-0.0760479,0.00225858,1.47838
11.5304,-0.227302,0,1.47609,-0.0758374,0.00211903,1.47804
11.5351,-0.225926,0,1.46488,-0.069073,-0.00252075,1.46651
11.5353,-0.225851,0,1.46439,-0.0686817,-0.00270327,1.466
11.5402,-0.224317,0,1.45941,-0.0539233,-0.00474946,1.46041
11.54,-0.224363,0,1.45947,-0.0544037,-0.00469701,1.46049
10.7365,-0.0111111,0,1.69972,-0.329567,-0.291174,1.75569
10.7353,-0.0146636,0,1.69787,-0.334276,-0.293222,1.75513
11.6123,-0.224275,0,1.54856,0.0882007,0.00112055,1.55107
11.2385,0.175348,0,1.4526,-0.00172572,-0.0419468,1.4532
11.2327,0.175914,0,1.45222,-0.00793507,-0.0363857,1.4527
11.2509,0.174074,0,1.45169,0.0109924,-0.0526047,1.45268
11.2605,0.173052,0,1.45008,0.0188984,-0.0601846,1.45145
11.6177,-0.225926,0,1.55914,0.0883724,0.00255306,1.56164
11.6563,-0.367014,0,0.851882,-0.00556552,0.000294357,0.8519
11.2715,0.171411,0,1.44767,0.0244338,-0.0684079,1.44949
10.7307,-0.0303202,0,1.68901,-0.351887,-0.298321,1.75088
10.7301,-0.0333333,0,1.68605,-0.355571,-0.298234,1.74876
10.7327,-0.0231268,0,1.69349,-0.34526,-0.298251,1.75387
10.7343,-0.0185185,0,1.69532,-0.339652,-0.295421,1.75406
11.4034,0.15853,0,1.44058,-0.0434117,0.00171549,1.44124
10.7285,-0.0407407,0,1.67705,-0.364915,-0.296358,1.74169
11.2664,0.172206,0,1.44887,0.0219597,-0.0645933,1.45047
11.3079,0.166667,4.33681e-19,1.4391,0.0287996,-0.0813007,1.44169
11.3111,0.166059,0,1.43793,0.0274645,-0.0789523,1.44036
11.3154,0.165343,0,1.43685,0.0258376,-0.0757002,1.43908
11.3113,0.166023,0,1.43783,0.0273784,-0.0788744,1.44025
11.387,0.159749,0,1.43675,-0.028064,-0.0150184,1.43711
11.3875,0.159703,0,1.43656,-0.0284119,-0.0146351,1.43691
11.7332,-0.227471,0,1.57186,-0.0624321,0.0193614,1.57322
11.7332,-0.364715,0,0.872121,-0.0064097,-5.94031e-05,0.872145
11.7381,-0.22677,0,1.56433,-0.0639536,0.0189166,1.56575
11.1776,-0.217162,0,1.15851,-0.00900602,-0.0694428,1.16063
11.1787,-0.217161,0,1.1608,0.0020216,-0.0693079,1.16287
11.1371,-0.244971,0,1.40641,-0.233095,0.126838,1.43122
11.1371,-0.245155,0,1.40781,-0.232439,0.127893,1.43259
11.2932,-0.262963,0,1.55948,0.134312,0.0743929,1.56702
11.2935,-0.263096,0,1.56009,0.134,0.0748104,1.56762
11.1372,-0.288152,0,1.57995,0.00675219,0.170875,1.58918
11.1372,-0.288599,0,1.58008,0.00867714,0.169636,1.58918
11.1481,-0.325688,0,1.61222,0.105054,0.118279,1.61997
11.1482,-0.325875,0,1.61267,0.104915,0.118165,1.62039
11.2653,0.172312,0,1.44863,0.0213733,-0.0637054,1.45019
10.7352,-0.0154571,0,1.69693,-0.335751,-0.293545,1.75456
11.4474,0.159931,0,1.48083,-0.0814044,0.0177625,1.48317
11.452,0.160282,0,1.48755,-0.0834414,0.0163965,1.48998
11.4533,0.160376,0,1.48947,-0.0840538,0.0159418,1.49193
11.4584,0.160767,0,1.49678,-0.0862414,0.0144004,1.49934
11.4694,0.161579,0,1.51027,-0.0867345,0.0116445,1.5128
11.4804,0.161546,0,1.51525,-0.0854556,0.0109261,1.5177
11.4914,0.162186,0,1.52294,-0.0822934,0.00849436,1.52519
11.5903,0.163434,0,1.5455,-0.00057729,-0.010886,1.54553
11.5793,0.163448,0,1.54767,-0.00882138,-0.00990148,1.54773
11.6013,0.163412,0,1.5432,0.00560804,-0.0104338,1.54325
11.5683,0.163446,0,1.54734,-0.0194925,-0.00853914,1.54749
11.5573,0.163342,0,1.54738,-0.0312137,-0.00811472,1.54771
11.6123,0.163395,0,1.53997,0.00966874,-0.00890628,1.54003
11.6233,0.16339,0,1.53645,0.012761,-0.00645615,1.53652
11.5353,0.162776,0,1.54815,-0.0534787,-0.00563423,1.54908
11.5243,0.162176,0,1.5416,-0.0627722,-0.00143086,1.54288
11.5463,0.163053,0,1.55081,-0.0431225,-0.00788389,1.55143
11.5133,0.162041,0,1.53325,-0.0717919,0.00302487,1.53493
11.6343,0.163403,0,1.53325,0.0136133,-0.00410072,1.53331
11.5023,0.162036,0,1.52613,-0.0786849,0.00658976,1.52817
11.6453,0.163466,0,1.53101,0.0110711,-0.00253917,1.53105
11.6563,0.163582,0,1.53001,0.00657447,-0.000341165,1.53002
11.6673,0.163764,0,1.52933,0.000430056,0.0025946,1.52933
11.6783,0.164087,0,1.5293,-0.00591373,0.0048742,1.52932
11.7002,0.167749,0,1.54215,-0.0183292,0.00566608,1.54227
11.7112,0.169352,0,1.55327,-0.0236163,0.0040257,1.55346
11.7222,0.169736,0,1.54699,-0.0300721,0.00691429,1.5473
11.3917,0.159259,0,1.43464,-0.0324568,-0.0105221,1.43504
11.3924,0.159175,0,1.43485,-0.0331333,-0.00958974,1.43527
11.3979,0.158854,0,1.43772,-0.038269,-0.0039716,1.43823
11.3973,0.158891,0,1.43741,-0.0377786,-0.00459036,1.43791
11.4144,0.158376,0,1.44756,-0.0528034,0.0101889,1.44856
11.4199,0.158524,0,1.45174,-0.057463,0.0130272,1.45293
10.728,-0.0481481,0,1.66428,-0.376658,-0.292628,1.73128
11.7332,0.171067,0,1.54657,-0.0355159,0.00741736,1.547
11.7442,-0.364473,0,0.874354,-0.00649461,-6.9396e-05,0.874379
11.7384,-0.226675,0,1.56392,-0.0640116,0.0189052,1.56535
11.7423,-0.225926,0,1.55764,-0.065332,0.0185656,1.55912
11.4383,0.159259,0,1.46729,-0.0741031,0.0188618,1.46928
11.4364,0.159134,0,1.46545,-0.0724503,0.0188175,1.46736
11.4254,0.158604,0,1.45555,-0.0620332,0.0159536,1.45696
11.6892,0.165213,0,1.53141,-0.0120031,0.00600706,1.53147
11.6957,0.166667,0,1.53503,-0.0155024,0.00655058,1.53513
11.4217,0.158528,0,1.45288,-0.0589466,0.0140262,1.45414
10.7272,-0.0555556,0,1.64267,-0.396753,-0.287572,1.71419
11.7552,-0.364245,0,0.87637,-0.00677987,-7.66195e-05,0.876396
11.7442,0.172144,0,1.55327,-0.0367867,0.00302537,1.55371
