xp,yp,label,umag,ux
11.2098,-0.290433,0,0.0,0.0
11.1988,-0.289086,0,0.0,0.0
11.1878,-0.287061,0,0.0,0.0
11.1768,-0.286327,0,0.0,0.0
11.1747,-0.285185,0,0.0,0.0
11.1658,-0.281061,0,0.0,0.0
11.1548,-0.278807,0,0.0,0.0
11.1508,-0.277778,0,0.0,0.0
11.1438,-0.276027,0,0.0,0.0
11.1328,-0.273582,0,0.0,0.0
11.1273,-0.272512,0,0.0,0.0
11.1182,-0.27037,0,0.0,0.0
11.1218,-0.272076,0,0.0,0.0
11.1256,-0.272615,0,0.0,0.0
11.1157,-0.269399,0,0.0,0.0
11.1151,-0.269035,0,0.0,0.0
11.1108,-0.267649,0,0.0,0.0
11.0998,-0.265465,0,0.0,0.0
11.0929,-0.264631,0,0.0,0.0
11.0888,-0.264108,0,0.0,0.0
11.0944,-0.264622,0,0.0,0.0
11.0861,-0.262963,0,0.0,0.0
11.0824,-0.261468,0,0.0,0.0
11.0831,-0.261864,0,0.0,0.0
11.0778,-0.260012,0,0.0,0.0
11.0668,-0.25774,0,0.0,0.0
11.0614,-0.257065,0,0.0,0.0
11.0599,-0.257149,0,0.0,0.0
11.0558,-0.256755,0,0.0,0.0
11.0529,-0.255556,0,0.0,0.0
11.05,-0.254557,0,0.0,0.0
11.0494,-0.254186,0,0.0,0.0
11.0448,-0.252904,0,0.0,0.0
11.0338,-0.250618,0,0.0,0.0
11.0228,-0.248474,0,0.0,0.0
11.0213,-0.248148,0,0.0,0.0
11.0118,-0.246098,0,0.0,0.0
11.0008,-0.243932,0,0.0,0.0
10.9898,-0.241658,0,0.0,0.0
10.9857,-0.240741,0,0.0,0.0
10.9788,-0.23922,0,0.0,0.0
10.9678,-0.237907,0,0.0,0.0
10.9568,-0.236278,0,0.0,0.0
10.9458,-0.235643,0,0.0,0.0
10.9376,-0.233333,0,0.0,0.0
10.9348,-0.232522,0,0.0,0.0
10.9238,-0.230812,0,0.0,0.0
10.9128,-0.229354,0,0.0,0.0
10.9017,-0.228259,0,0.0,0.0
10.8907,-0.227235,0,0.0,0.0
10.8825,-0.225926,0,0.0,0.0
10.8797,-0.225383,0,0.0,0.0
10.8687,-0.223352,0,0.0,0.0
10.8577,-0.222762,0,0.0,0.0
10.8467,-0.222183,0,0.0,0.0
10.8357,-0.221479,0,0.0,0.0
10.8247,-0.221091,0,0.0,0.0
10.8137,-0.220907,0,0.0,0.0
10.8027,-0.221295,0,0.0,0.0
10.7917,-0.220847,0,0.0,0.0
10.7807,-0.220955,0,0.0,0.0
10.7697,-0.22088,0,0.0,0.0
10.7587,-0.220945,0,0.0,0.0
10.7477,-0.22038,0,0.0,0.0
10.7367,-0.221123,0,0.0,0.0
10.7257,-0.221372,0,0.0,0.0
10.7147,-0.221465,0,0.0,0.0
10.7037,-0.221957,0,0.0,0.0
10.6927,-0.222532,0,0.0,0.0
10.6817,-0.223322,0,0.0,0.0
10.6707,-0.2242,0,0.0,0.0
10.6616,-0.225926,0,0.0,0.0
10.6597,-0.22652,0,0.0,0.0
10.6649,-0.225266,0,0.0,0.0
10.6657,-0.225018,0,0.0,0.0
10.6556,-0.226922,0,0.0,0.0
10.6543,-0.226903,0,0.0,0.0
10.6487,-0.227539,0,0.0,0.0
10.6377,-0.228553,0,0.0,0.0
10.6267,-0.229569,0,0.0,0.0
10.6157,-0.229611,0,0.0,0.0
10.6047,-0.231786,0,0.0,0.0
10.6002,-0.233333,0,0.0,0.0
10.5937,-0.235501,0,0.0,0.0
10.5827,-0.236447,0,0.0,0.0
10.5717,-0.237439,0,0.0,0.0
10.5658,-0.239024,0,0.0,0.0
10.5653,-0.239106,0,0.0,0.0
10.5599,-0.240741,0,0.0,0.0
10.5607,-0.240456,0,0.0,0.0
10.5555,-0.242058,0,0.0,0.0
10.5552,-0.242158,0,0.0,0.0
10.5497,-0.243626,0,0.0,0.0
10.5387,-0.244112,0,0.0,0.0
10.5277,-0.244682,0,0.0,0.0
10.5167,-0.244776,0,0.0,0.0
